,_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
37,87194aca0ffffff,31.0,2.0,1.0,0.0,11.0,12.0,0.0,2.0,4.0,0.0,3.0,24.0,89.0,14.0,4.0,55.0,1.0,3.0
38,87194aca2ffffff,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,3.0,4.0,3.0,17.0,0.0,0.0
39,87194aca3ffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,6.0,0.0,4.0,8.0,0.0,0.0
40,87194aca4ffffff,44.0,3.0,2.0,0.0,21.0,34.0,3.0,15.0,25.0,2.0,11.0,115.0,364.0,28.0,12.0,116.0,2.0,16.0
41,87194aca5ffffff,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42,87194aca6ffffff,14.0,0.0,0.0,0.0,9.0,10.0,0.0,3.0,3.0,1.0,2.0,15.0,69.0,11.0,5.0,30.0,0.0,4.0
43,87194ad00ffffff,92.0,4.0,0.0,0.0,42.0,39.0,5.0,29.0,46.0,19.0,29.0,101.0,323.0,26.0,29.0,143.0,2.0,9.0
44,87194ad01ffffff,81.0,4.0,3.0,0.0,42.0,65.0,2.0,31.0,56.0,13.0,30.0,151.0,351.0,40.0,14.0,175.0,15.0,27.0
45,87194ad02ffffff,95.0,2.0,1.0,0.0,51.0,81.0,6.0,42.0,29.0,19.0,36.0,145.0,300.0,42.0,35.0,176.0,2.0,14.0
46,87194ad03ffffff,90.0,1.0,0.0,0.0,44.0,40.0,5.0,26.0,29.0,14.0,24.0,92.0,307.0,45.0,28.0,161.0,6.0,18.0
47,87194ad04ffffff,87.0,10.0,6.0,0.0,70.0,52.0,12.0,66.0,79.0,40.0,59.0,228.0,528.0,47.0,67.0,211.0,6.0,33.0
48,87194ad05ffffff,109.0,6.0,3.0,0.0,41.0,77.0,8.0,37.0,60.0,13.0,27.0,236.0,413.0,43.0,41.0,201.0,8.0,14.0
49,87194ad06ffffff,85.0,4.0,5.0,0.0,59.0,63.0,6.0,68.0,77.0,39.0,38.0,303.0,536.0,68.0,69.0,258.0,12.0,28.0
50,87194ad08ffffff,87.0,2.0,6.0,0.0,29.0,61.0,2.0,36.0,15.0,16.0,23.0,84.0,300.0,40.0,16.0,118.0,6.0,13.0
51,87194ad09ffffff,59.0,1.0,0.0,0.0,13.0,20.0,1.0,4.0,2.0,0.0,6.0,24.0,129.0,22.0,5.0,74.0,1.0,6.0
52,87194ad0affffff,77.0,8.0,0.0,0.0,40.0,48.0,4.0,22.0,33.0,9.0,16.0,109.0,344.0,23.0,13.0,145.0,5.0,9.0
53,87194ad0bffffff,54.0,2.0,1.0,0.0,19.0,36.0,1.0,20.0,19.0,4.0,10.0,55.0,188.0,23.0,4.0,80.0,3.0,4.0
