tile,cpc
10,0.45525674252206105
101,0.5182140961577518
103,0.5417303107136924
104,0.5005638049340971
107,0.5398825406271895
110,0.0
111,0.0
113,0.5023595671165758
114,0.5272165823336309
117,0.528423636471423
118,0.5171433839574119
119,0.48630125282036596
132,0.5229924868053193
135,0.5465408445045108
138,0.0
143,0.5521279933075395
146,0.43619012377770977
147,0.4872778421251461
148,0.46573281593985477
151,0.0
153,0.4869932036559644
156,0.6090893835561102
157,0.4181930047336045
158,0.47470267389617254
160,0.46947458495940386
161,0.5044608024205259
163,0.4913945124689785
164,0.4782086675144914
165,0.5297900734283596
166,0.5002932551319648
169,0.0
17,0.5952931288085732
173,0.49493004115843897
174,0.0
177,0.5039815438021474
178,0.48396904160029014
18,0.47686832740213525
187,0.0
189,0.4852354349561053
190,0.6138014154330627
191,0.7633504164585331
192,0.4985092705199045
195,0.4361558793576907
196,0.5524287716020552
202,0.5147826086956522
206,0.0
207,0.48397242211102753
208,0.43758419433264245
209,0.5008496699468264
21,0.4436834398793411
210,0.572427389032472
212,0.6343340348587216
213,0.5393802920888059
214,0.0
216,0.0
22,0.32770222008231004
221,0.5715926088009872
227,0.0
23,0.4899224854069631
230,0.0
235,0.5219607843137255
240,0.5491127702899253
241,0.5735657829405647
246,0.6406043230477027
248,0.508015956025229
251,0.5609236277371715
253,0.7010998890960192
255,0.6191108833757443
256,0.5384456983548236
264,0.0
266,0.5144220486524683
267,0.5428483226398414
270,0.4571768434488147
271,0.5464319749019654
274,0.4420177812137611
275,0.0
277,0.44408829050196275
278,0.5554791779502077
284,0.5997782705099778
287,0.0
290,0.478471628172227
293,0.49168035456120684
295,0.5349978824922347
296,0.526127299365131
297,0.4095715080690039
30,0.47726093222783356
300,0.49976139410422266
301,0.6037303049197366
302,0.5150186277700411
303,0.545311090555552
306,0.5607661822985469
31,0.48181329711793996
311,0.5766738660907127
318,0.48897347291810694
319,0.49516157031915525
32,0.35182925289956796
320,0.5217424980802927
321,0.46784244074179815
323,0.4331583045323824
325,0.48736717267098334
326,0.5671119592875318
328,0.6340977601640797
331,0.5482977038796516
333,0.723202170963365
342,0.25270466366622385
345,0.5437694510588924
347,0.4464899681923613
348,0.47281108932446453
349,0.5501077498920209
352,0.49617002594830095
354,0.4627875891907353
355,0.3771730425075807
356,0.502377707772901
358,0.0
359,0.37988966900702104
360,0.5977055449330784
362,0.6890838206627681
364,0.0
365,0.45741790494313
367,0.0
37,0.6537959560131751
371,0.19172249353088705
373,0.3977318367998624
377,0.4662847200731248
379,0.5126498974810104
38,0.4692218350754936
383,0.41838262806765175
386,0.5494772650079476
388,0.6091951031495793
389,0.0
39,0.5651479131499315
390,0.7498039215686274
396,0.0
399,0.3521622240705904
4,0.5153769614592354
40,0.46549084965184123
401,0.5098393278928612
402,0.5555922058902576
405,0.5389131073597564
408,0.5379793032104635
41,0.46951895011468486
411,0.43087881867191596
412,0.4649338458193085
414,0.5314300622728163
417,0.6004092370651856
42,0.48202390472710865
422,0.4811981401283327
43,0.4380304385720351
437,0.4000300877845461
438,0.6755246491990563
439,0.46934865900383144
44,0.42752916048579154
440,0.0
444,0.0
445,0.5393697641360993
447,0.0
45,0.6014461931093151
450,0.4228935533058153
456,0.4068699202561756
463,0.5055133523975304
467,0.5935705530400409
47,0.5035437154716346
49,0.5387830724250052
5,0.5305933370841561
50,0.542844824668655
54,0.569868479971458
55,0.5018315018315018
56,0.0
57,0.5333659527108008
58,0.546580006190034
59,0.0
60,0.48559670781893005
70,0.5398528926861844
72,0.5308456603857539
73,0.46053280329362944
78,0.5590719248965109
80,0.6584153195553845
82,0.49984909951515444
84,0.39403329371935586
87,0.43107026386006525
88,0.5949830615030008
9,0.6843155221511273
91,0.49212580878176077
93,0.48268388109013066
94,0.4322603863116052
97,0.4682592921989383
98,0.500311722831648
99,0.48457829908762096
