_index,all
87194e6e2ffffff,48
87194e6e3ffffff,10
87194e6e4ffffff,24
87194e6e5ffffff,1
87194e6e6ffffff,80
87194e6f0ffffff,175
87194e6f1ffffff,103
87194e6f2ffffff,192
87194e6f3ffffff,121
87194e6f4ffffff,376
87194e6f5ffffff,257
87194e6f6ffffff,219
87195d344ffffff,10
87195d345ffffff,9
87195d360ffffff,167
87195d361ffffff,217
87195d362ffffff,134
87195d363ffffff,117
87195d364ffffff,187
87195d365ffffff,139
87195d366ffffff,116
87195d368ffffff,29
87195d369ffffff,4
87195d36affffff,1
87195d36cffffff,327
87195d36dffffff,202
87195d36effffff,99
87195d371ffffff,20
87195d375ffffff,22
87195da08ffffff,0
87195da09ffffff,51
87195da0bffffff,73
87195da0dffffff,1
87195da40ffffff,511
87195da41ffffff,439
87195da42ffffff,647
87195da43ffffff,411
87195da44ffffff,455
87195da45ffffff,323
87195da46ffffff,230
87195da48ffffff,1368
87195da49ffffff,4259
87195da4affffff,1016
87195da4bffffff,769
87195da4cffffff,1097
87195da4dffffff,1853
87195da4effffff,900
87195da50ffffff,478
87195da51ffffff,242
87195da52ffffff,281
87195da53ffffff,232
87195da54ffffff,482
87195da55ffffff,317
87195da56ffffff,262
87195da58ffffff,665
87195da59ffffff,430
87195da5affffff,423
87195da5bffffff,439
87195da5cffffff,340
87195da5dffffff,548
87195da5effffff,400
87195da60ffffff,313
87195da61ffffff,542
87195da62ffffff,488
87195da63ffffff,292
87195da64ffffff,307
87195da65ffffff,366
87195da66ffffff,226
87195da68ffffff,784
87195da69ffffff,923
87195da6affffff,645
87195da6bffffff,853
87195da6cffffff,702
87195da6dffffff,883
87195da6effffff,587
87195da70ffffff,25
87195da71ffffff,91
87195da72ffffff,68
87195da73ffffff,227
87195da74ffffff,338
87195da75ffffff,171
87195da76ffffff,43
87195da89ffffff,2
87195da8dffffff,2
87195dac0ffffff,332
87195dac1ffffff,169
87195dac2ffffff,125
87195dac3ffffff,52
87195dac4ffffff,191
87195dac5ffffff,248
87195dac6ffffff,81
87195dac8ffffff,522
87195dac9ffffff,379
87195dacaffffff,463
87195dacbffffff,256
87195daccffffff,290
87195dacdffffff,284
87195daceffffff,161
87195dad0ffffff,3
87195dad1ffffff,22
87195dad4ffffff,93
87195dad5ffffff,49
87195dad8ffffff,264
87195dad9ffffff,222
87195dadaffffff,0
87195dadbffffff,183
87195dadcffffff,270
87195daddffffff,239
87195dadeffffff,225
87195dae0ffffff,167
87195dae1ffffff,434
87195dae2ffffff,128
87195dae3ffffff,325
87195dae4ffffff,24
87195dae5ffffff,155
