ORIGIN_CODE,DESTINATION_CODE,flows
87194ac00ffffff,87194e6d4ffffff,2.0
87194ac00ffffff,87194e6d5ffffff,2.0
87194ac00ffffff,87194e6d6ffffff,2.0
87194ac00ffffff,87194e6d8ffffff,3.0
87194ac00ffffff,87194e6d9ffffff,1.0
87194ac00ffffff,87194e6daffffff,5.0
87194ac00ffffff,87194e6dbffffff,4.0
87194ac00ffffff,87194e6dcffffff,3.0
87194ac00ffffff,87194e6ddffffff,2.0
87194ac00ffffff,87194e6deffffff,4.0
87194ac00ffffff,87194e6e0ffffff,0.0
87194ac00ffffff,87194e6e2ffffff,1.0
87194ac00ffffff,87194e6e3ffffff,0.0
87194ac00ffffff,87194e6e4ffffff,0.0
87194ac00ffffff,87194e6e5ffffff,0.0
87194ac00ffffff,87194e6e6ffffff,1.0
87194ac00ffffff,87194e6f0ffffff,1.0
87194ac00ffffff,87194e6f1ffffff,1.0
87194ac00ffffff,87194e6f2ffffff,1.0
87194ac00ffffff,87194e6f3ffffff,1.0
87194ac00ffffff,87194e6f4ffffff,1.0
87194ac00ffffff,87194e6f5ffffff,1.0
87194ac00ffffff,87194e6f6ffffff,1.0
87194ac00ffffff,87195d344ffffff,0.0
87194ac00ffffff,87195d345ffffff,0.0
87194ac00ffffff,87195d360ffffff,1.0
87194ac00ffffff,87195d361ffffff,2.0
87194ac00ffffff,87195d362ffffff,1.0
87194ac00ffffff,87195d363ffffff,1.0
87194ac00ffffff,87195d364ffffff,1.0
87194ac00ffffff,87195d365ffffff,1.0
87194ac00ffffff,87195d366ffffff,1.0
87194ac00ffffff,87195d368ffffff,1.0
87194ac00ffffff,87195d369ffffff,1.0
87194ac00ffffff,87195d36affffff,0.0
87194ac00ffffff,87195d36cffffff,3.0
87194ac00ffffff,87195d36dffffff,3.0
87194ac00ffffff,87195d36effffff,1.0
87194ac00ffffff,87195d371ffffff,0.0
87194ac00ffffff,87195d375ffffff,0.0
87194ac00ffffff,87195da08ffffff,0.0
87194ac00ffffff,87195da09ffffff,0.0
87194ac00ffffff,87195da0bffffff,0.0
87194ac00ffffff,87195da0dffffff,0.0
87194ac00ffffff,87195da40ffffff,2.0
87194ac00ffffff,87195da41ffffff,2.0
87194ac00ffffff,87195da42ffffff,2.0
87194ac00ffffff,87195da43ffffff,2.0
87194ac00ffffff,87195da44ffffff,1.0
87194ac00ffffff,87195da45ffffff,2.0
87194ac00ffffff,87195da46ffffff,1.0
87194ac00ffffff,87195da48ffffff,6.0
87194ac00ffffff,87195da49ffffff,15.0
87194ac00ffffff,87195da4affffff,5.0
87194ac00ffffff,87195da4bffffff,6.0
87194ac00ffffff,87195da4cffffff,4.0
87194ac00ffffff,87195da4dffffff,7.0
87194ac00ffffff,87195da4effffff,4.0
