_index,all
87194e6e3ffffff,15
87194e6e4ffffff,29
87194e6e5ffffff,0
87194e6e6ffffff,82
87194e6f0ffffff,226
87194e6f1ffffff,122
87194e6f2ffffff,196
87194e6f3ffffff,170
87194e6f4ffffff,304
87194e6f5ffffff,282
87194e6f6ffffff,229
87195d344ffffff,11
87195d345ffffff,13
87195d360ffffff,187
87195d361ffffff,231
87195d362ffffff,153
87195d363ffffff,153
87195d364ffffff,194
87195d365ffffff,178
87195d366ffffff,136
87195d368ffffff,41
87195d369ffffff,9
87195d36affffff,1
87195d36cffffff,302
87195d36dffffff,222
87195d36effffff,109
87195d371ffffff,45
87195d375ffffff,49
87195da08ffffff,0
87195da09ffffff,57
87195da0bffffff,70
87195da0dffffff,0
87195da40ffffff,427
87195da41ffffff,272
87195da42ffffff,502
87195da43ffffff,358
87195da44ffffff,412
87195da45ffffff,299
87195da46ffffff,263
87195da48ffffff,887
87195da49ffffff,1743
87195da4affffff,736
87195da4bffffff,530
87195da4cffffff,742
87195da4dffffff,1218
87195da4effffff,699
87195da50ffffff,336
87195da51ffffff,208
87195da52ffffff,254
87195da53ffffff,230
87195da54ffffff,406
87195da55ffffff,337
87195da56ffffff,255
87195da58ffffff,510
87195da59ffffff,396
87195da5affffff,357
87195da5bffffff,394
87195da5cffffff,293
87195da5dffffff,431
87195da5effffff,338
87195da60ffffff,315
87195da61ffffff,411
87195da62ffffff,425
87195da63ffffff,264
87195da64ffffff,295
87195da65ffffff,323
87195da66ffffff,236
87195da68ffffff,568
87195da69ffffff,654
87195da6affffff,533
87195da6bffffff,647
87195da6cffffff,442
87195da6dffffff,580
87195da6effffff,450
87195da70ffffff,37
87195da71ffffff,125
87195da72ffffff,97
87195da73ffffff,221
87195da74ffffff,304
87195da75ffffff,202
87195da76ffffff,51
87195da89ffffff,2
87195da8dffffff,7
87195dac0ffffff,289
87195dac1ffffff,162
87195dac2ffffff,140
87195dac3ffffff,65
87195dac4ffffff,199
87195dac5ffffff,232
87195dac6ffffff,94
87195dac8ffffff,301
87195dac9ffffff,300
87195dacaffffff,334
87195dacbffffff,190
87195daccffffff,266
87195dacdffffff,270
87195daceffffff,165
87195dad0ffffff,3
87195dad1ffffff,53
87195dad4ffffff,121
87195dad5ffffff,58
87195dad8ffffff,293
87195dad9ffffff,226
87195dadaffffff,2
87195dadbffffff,183
87195dadcffffff,261
87195daddffffff,237
87195dadeffffff,186
87195dae0ffffff,202
87195dae1ffffff,353
87195dae2ffffff,153
87195dae3ffffff,308
87195dae4ffffff,26
87195dae5ffffff,158
87195dae6ffffff,4
87195dae8ffffff,232
87195dae9ffffff,253
87195daeaffffff,299
87195daebffffff,249
87195daecffffff,334
87195daedffffff,422
87195daeeffffff,375
87195daf0ffffff,43
87195daf1ffffff,203
87195daf2ffffff,24
87195daf3ffffff,47
87195daf5ffffff,8
87195db41ffffff,11
87195db43ffffff,11
87195db48ffffff,431
87195db49ffffff,379
87195db4affffff,118
87195db4bffffff,251
87195db4cffffff,54
87195db4dffffff,259
87195db4effffff,63
87195db58ffffff,57
87195db59ffffff,93
87195db5affffff,17
87195db5bffffff,218
87195db5cffffff,10
87195db5dffffff,23
87195db69ffffff,24
87195db6bffffff,160
